Sales Person,Country,Product,Date,Amount,Boxes Shipped,Discount,Priority for shipping,,Unique Name ,Total sales Per name ,Unique Product,,Average per Product
Jehu Rudeforth,UK,Mint Chip Choco,4-Jan-22,"$5,320 ",180,266,needs Shipping,,Jehu Rudeforth,220976,Mint Chip Choco,45,4910.577778
Van Tuxwell,India,85% Dark Bars,1-Aug-22,"$7,896 ",94,394.8,needs Shipping,,Van Tuxwell,303149,85% Dark Bars,50,6062.98
Gigi Bohling,India,Peanut Butter Cubes,7-Jul-22,"$4,501 ",91,225.05,needs Shipping,,Gigi Bohling,232666,Peanut Butter Cubes,49,4748.285714
Jan Morforth,Australia,Peanut Butter Cubes,27-Apr-22,"$12,726 ",342,636.3,needs Shipping,,Jan Morforth,219667,Smooth Sliky Salty,59,3723.169492
Jehu Rudeforth,UK,Peanut Butter Cubes,24-Feb-22,"$13,685 ",184,684.25,needs Shipping,,Oby Sorrel,316645,99% Dark & Pure,49,6462.142857
Van Tuxwell,India,Smooth Sliky Salty,6-Jun-22,"$5,376 ",38,268.8,Delay Shipping,,Gunar Cockshoot,238483,After Nines,50,4769.66
Oby Sorrel,UK,99% Dark & Pure,25-Jan-22,"$13,685 ",176,684.25,needs Shipping,,Brien Boise,312816,50% Dark Bites,60,5213.6
Gunar Cockshoot,Australia,After Nines,24-Mar-22,"$3,080 ",73,154,needs Shipping,,Rafaelita Blaksland,210245,Orange Choco,47,4473.297872
Jehu Rudeforth,New Zealand,50% Dark Bites,20-Apr-22,"$3,990 ",59,199.5,needs Shipping,,Barr Faughny,258713,Eclairs,60,4311.883333
Brien Boise,Australia,99% Dark & Pure,4-Jul-22,"$2,835 ",102,141.75,needs Shipping,,Mallorie Waber,200592,Drinking Coco,56,3582
Rafaelita Blaksland,UK,Smooth Sliky Salty,13-Jan-22,"$4,704 ",62,235.2,needs Shipping,,Karlen McCaffrey,223895,Organic Choco Syrup,52,4305.673077
Barr Faughny,USA,Orange Choco,10-Mar-22,"$3,703 ",11,296.24,Delay Shipping,,Marney O'Breen,259742,Milk Bars,49,5300.857143
Mallorie Waber,Canada,Eclairs,13-Jan-22,"$1,442 ",286,72.1,needs Shipping,,Beverie Moffet,278922,Spicy Special Slims,54,5165.222222
Karlen McCaffrey,New Zealand,Drinking Coco,28-Jul-22,$168 ,156,8.4,needs Shipping,,Roddy Speechley,251062,Fruit & Nut Bars,50,5021.24
Marney O'Breen,New Zealand,Peanut Butter Cubes,3-Aug-22,"$8,379 ",173,418.95,needs Shipping,,Curtice Advani,216461,White Choc,58,3732.086207
Beverie Moffet,Australia,Organic Choco Syrup,26-Jan-22,"$6,790 ",356,339.5,needs Shipping,,Husein Augar,205212,Manuka Honey Choco,45,4560.266667
Van Tuxwell,Canada,Organic Choco Syrup,14-Feb-22,"$4,067 ",42,203.35,Delay Shipping,,Kaine Padly,266490,Almond Choco,48,5551.875
Roddy Speechley,USA,Smooth Sliky Salty,5-Apr-22,"$3,017 ",140,241.36,needs Shipping,,Dennison Crosswaite,291669,Raspberry Choco,48,6076.4375
Beverie Moffet,Canada,Milk Bars,16-Feb-22,"$8,799 ",250,439.95,needs Shipping,,Wilone O'Kielt,138523,Choco Coated Almonds,39,3551.871795
Curtice Advani,UK,85% Dark Bars,8-Jun-22,"$1,085 ",172,54.25,needs Shipping,,Andria Kimpton,201747,Baker's Choco Chips,41,4920.658537
Brien Boise,Australia,Eclairs,27-Jun-22,"$6,888 ",88,344.4,needs Shipping,,Kelci Walkden,311710,Caramel Stuffed Bars,43,7249.069767
Gunar Cockshoot,USA,Spicy Special Slims,17-Feb-22,"$1,267 ",157,101.36,needs Shipping,,Camilla Castle,196616,70% Dark Bites,42,4681.333333
Marney O'Breen,USA,After Nines,30-May-22,"$4,753 ",163,380.24,needs Shipping,,Madelene Upcott,316099,,1094,
Husein Augar,UK,Drinking Coco,14-Mar-22,"$3,003 ",113,150.15,needs Shipping,,Dotty Strutley,190624,,,
Kaine Padly,Australia,Eclairs,28-Feb-22,"$7,672 ",115,383.6,needs Shipping,,Ches Bonnell,320901,,,
Karlen McCaffrey,India,Fruit & Nut Bars,26-Jan-22,$168 ,321,8.4,needs Shipping,,,,,,
Roddy Speechley,Canada,Spicy Special Slims,9-Feb-22,"$1,652 ",186,82.6,needs Shipping,,,,,,
Husein Augar,USA,Eclairs,7-Jul-22,"$4,025 ",112,322,needs Shipping,,,,,,
Dennison Crosswaite,New Zealand,White Choc,5-Jul-22,"$9,492 ",151,474.6,needs Shipping,,,,,,
Dennison Crosswaite,New Zealand,Manuka Honey Choco,15-Jun-22,"$5,061 ",301,253.05,needs Shipping,,,,,,
Van Tuxwell,New Zealand,85% Dark Bars,24-May-22,"$1,722 ",121,86.1,needs Shipping,,,,,,
Rafaelita Blaksland,UK,99% Dark & Pure,29-Jun-22,"$12,446 ",150,622.3,needs Shipping,,,,,,
Wilone O'Kielt,Australia,Manuka Honey Choco,11-May-22,"$4,284 ",94,214.2,needs Shipping,,,,,,
Karlen McCaffrey,UK,Almond Choco,30-Jun-22,"$6,839 ",133,341.95,needs Shipping,,,,,,
Andria Kimpton,Canada,After Nines,11-May-22,"$2,163 ",70,108.15,needs Shipping,,,,,,
Roddy Speechley,USA,Manuka Honey Choco,22-Jul-22,"$9,583 ",315,766.64,needs Shipping,,,,,,
Andria Kimpton,UK,50% Dark Bites,24-Aug-22,"$2,653 ",314,132.65,needs Shipping,,,,,,
Kelci Walkden,New Zealand,After Nines,7-Jul-22,$147 ,72,7.35,needs Shipping,,,,,,
Camilla Castle,Australia,85% Dark Bars,19-May-22,"$3,654 ",14,182.7,Delay Shipping,,,,,,
Karlen McCaffrey,India,Manuka Honey Choco,4-Jul-22,"$2,443 ",581,122.15,needs Shipping,,,,,,
Kelci Walkden,USA,After Nines,2-Jun-22,$938 ,16,75.04,Delay Shipping,,,,,,
Karlen McCaffrey,USA,Raspberry Choco,15-Apr-22,"$14,749 ",354,1179.92,needs Shipping,,,,,,
Mallorie Waber,Canada,Choco Coated Almonds,11-Jul-22,"$4,781 ",241,239.05,needs Shipping,,,,,,
Andria Kimpton,India,Spicy Special Slims,23-Feb-22,"$6,307 ",142,315.35,needs Shipping,,,,,,
Madelene Upcott,Canada,Almond Choco,22-Aug-22,"$7,602 ",102,380.1,needs Shipping,,,,,,
Kaine Padly,USA,Peanut Butter Cubes,16-Feb-22,"$6,790 ",188,543.2,needs Shipping,,,,,,
Van Tuxwell,USA,50% Dark Bites,13-Jan-22,"$9,737 ",160,778.96,needs Shipping,,,,,,
Curtice Advani,Australia,Milk Bars,14-Feb-22,"$6,979 ",18,348.95,Delay Shipping,,,,,,
Roddy Speechley,India,Eclairs,10-Jun-22,"$4,382 ",303,219.1,needs Shipping,,,,,,
Curtice Advani,India,Fruit & Nut Bars,7-Jul-22,"$5,243 ",176,262.15,needs Shipping,,,,,,
Curtice Advani,Canada,Almond Choco,24-Mar-22,"$4,865 ",70,243.25,needs Shipping,,,,,,
Brien Boise,Australia,Fruit & Nut Bars,6-Jun-22,"$8,575 ",23,428.75,Delay Shipping,,,,,,
Dotty Strutley,Australia,Drinking Coco,19-Jul-22,$91 ,135,4.55,needs Shipping,,,,,,
Beverie Moffet,USA,Raspberry Choco,19-Apr-22,"$14,798 ",83,1183.84,needs Shipping,,,,,,
Marney O'Breen,India,85% Dark Bars,19-Jul-22,"$2,205 ",179,110.25,needs Shipping,,,,,,
Jehu Rudeforth,Canada,Drinking Coco,15-Jul-22,$441 ,24,22.05,Delay Shipping,,,,,,
Ches Bonnell,New Zealand,Spicy Special Slims,14-Feb-22,"$3,556 ",18,177.8,Delay Shipping,,,,,,
Brien Boise,Canada,99% Dark & Pure,18-May-22,"$16,793 ",416,839.65,needs Shipping,,,,,,
Barr Faughny,Australia,Fruit & Nut Bars,30-Jun-22,"$15,421 ",55,771.05,needs Shipping,,,,,,
Andria Kimpton,Australia,50% Dark Bites,2-Jun-22,"$4,438 ",227,221.9,needs Shipping,,,,,,
Andria Kimpton,Australia,Drinking Coco,28-Jun-22,"$1,603 ",48,80.15,Delay Shipping,,,,,,
Marney O'Breen,Australia,Organic Choco Syrup,16-May-22,$273 ,174,13.65,needs Shipping,,,,,,
Kelci Walkden,Canada,Baker's Choco Chips,26-May-22,"$3,073 ",302,153.65,needs Shipping,,,,,,
Karlen McCaffrey,India,Almond Choco,6-Jul-22,"$6,090 ",149,304.5,needs Shipping,,,,,,
Oby Sorrel,India,99% Dark & Pure,27-May-22,"$10,255 ",11,512.75,Delay Shipping,,,,,,
Wilone O'Kielt,Australia,Caramel Stuffed Bars,14-Apr-22,"$2,030 ",11,101.5,Delay Shipping,,,,,,
Van Tuxwell,Australia,Organic Choco Syrup,10-Aug-22,"$19,453 ",14,972.65,Delay Shipping,,,,,,
Camilla Castle,India,50% Dark Bites,4-Jul-22,"$9,275 ",411,463.75,needs Shipping,,,,,,
Oby Sorrel,India,Organic Choco Syrup,8-Jul-22,"$6,181 ",56,309.05,needs Shipping,,,,,,
Jan Morforth,USA,Peanut Butter Cubes,22-Jul-22,"$9,037 ",102,722.96,needs Shipping,,,,,,
Gigi Bohling,USA,Choco Coated Almonds,2-Mar-22,"$12,313 ",103,985.04,needs Shipping,,,,,,
Gigi Bohling,UK,Almond Choco,10-Jan-22,"$5,642 ",9,282.1,Delay Shipping,,,,,,
Jehu Rudeforth,New Zealand,White Choc,11-Mar-22,"$2,800 ",241,140,needs Shipping,,,,,,
Andria Kimpton,New Zealand,Peanut Butter Cubes,20-Jun-22,$959 ,265,47.95,needs Shipping,,,,,,
Van Tuxwell,UK,Organic Choco Syrup,26-Aug-22,"$2,002 ",214,100.1,needs Shipping,,,,,,
Roddy Speechley,Canada,Milk Bars,13-Jul-22,$609 ,32,30.45,Delay Shipping,,,,,,
Camilla Castle,USA,Spicy Special Slims,11-Feb-22,"$1,274 ",244,101.92,needs Shipping,,,,,,
Marney O'Breen,USA,Orange Choco,27-Jan-22,"$7,595 ",181,607.6,needs Shipping,,,,,,
Van Tuxwell,UK,99% Dark & Pure,31-Jan-22,"$4,725 ",137,236.25,needs Shipping,,,,,,
Camilla Castle,USA,White Choc,18-Aug-22,"$9,681 ",24,774.48,Delay Shipping,,,,,,
Andria Kimpton,USA,Raspberry Choco,30-Jun-22,"$14,504 ",21,1160.32,Delay Shipping,,,,,,
Dotty Strutley,Australia,Fruit & Nut Bars,23-Aug-22,$280 ,311,14,needs Shipping,,,,,,
Brien Boise,New Zealand,Mint Chip Choco,1-Aug-22,$63 ,181,3.15,needs Shipping,,,,,,
Roddy Speechley,New Zealand,After Nines,25-May-22,"$8,001 ",10,400.05,Delay Shipping,,,,,,
Roddy Speechley,Canada,Organic Choco Syrup,10-Jan-22,"$4,032 ",82,201.6,needs Shipping,,,,,,
Dennison Crosswaite,Australia,70% Dark Bites,7-Feb-22,"$5,859 ",108,292.95,needs Shipping,,,,,,
Karlen McCaffrey,USA,Orange Choco,12-May-22,"$11,095 ",401,887.6,needs Shipping,,,,,,
Madelene Upcott,Australia,Spicy Special Slims,7-Mar-22,"$7,182 ",408,359.1,needs Shipping,,,,,,
Dennison Crosswaite,Australia,85% Dark Bars,5-Apr-22,"$6,881 ",420,344.05,needs Shipping,,,,,,
Andria Kimpton,Canada,Caramel Stuffed Bars,3-Jan-22,"$7,154 ",348,357.7,needs Shipping,,,,,,
Dennison Crosswaite,UK,Eclairs,24-Mar-22,"$6,188 ",270,309.4,needs Shipping,,,,,,
Madelene Upcott,India,Raspberry Choco,7-Jul-22,"$4,221 ",9,211.05,Delay Shipping,,,,,,
